"","LastName","value","L1"
"402","Isaacs","J",19784704
"403","Ma","HX",19764336
"404","Domire","ZJ",19733425
"405","Mahajan","RH",19721160
"406","Puhaindran","ME",19675039
"407","Kim","SJ",19651842
"408","Papapetropoulos","PA",19643338
"409","Stehling","C",19638854
"410","Atzei","A",19620186
"411","Iwasaki","N",19556075
"412","Unglaub","F",19415312
"413","Green","JB",19411004
"414","Fraser","GS",19410987
"415","Yao","J",19345869
"416","Wedemeyer","A",19322748
"417","Tsai","PC",19302063
"418","Dy","CJ",19276922
"419","Ma","HX",19260287
"420","Helmerhorst","GT",19258139
"421","Friedrich","KM",19235674
"422","Renoux","J",19235672
"423","Moser","T",19235671
"424","De Filippo","M",19233582
"425","Ma","HX",19112902
"426","Redeker","J",19101889
"427","Magee","T",19098183
"428","Atzei","A",19060683
"429","McAdams","TR",19059892
"430","Maizlin","ZV",19048349
"431","Lendemans","S",19039567
"432","Tanaka","T",19016398
"433","Sachar","K",18984356
"434","Luria","S",18984329
"435","Shirley","DS",18971065
"436","Reiter","A",18971054
"437","Bickel","KD",18929214
"438","Moritomo","H",18929189
"439","Pesquer","L",18855934
"440","Wolf","MB",18795305
"441","Lawler","E",18780072
"442","Skie","M",18780052
"443","Anderson","ML",18762112
"444","Cheng","HS",18711777
"445","Shang","Z",18681282
"446","Anderson","ML",18590850
"447","Bombaci","H",18562365
"448","Henry","MH",18524983
"449","Infanger","M",18468968
"450","Slutsky","DJ",18442684
"451","Unglaub","F",18437402
"452","Slutsky","DJ",18343287
"453","Unglaub","F",18308181
"454","Chloros","GD",18261676
"455","Taljanovic","MS",18204008
"456","Yamamoto","M",19378356
"457","Gutiérrez","AE",18159918
"458","Seitz","WH",18090826
"459","Yao","J",18063183
"460","Morisawa","Y",17993436
"461","Saffar","P",17993420
"462","Unglaub","F",17992144
"463","Moermans","A",17952805
"464","Pederzini","LA",17916483
"465","Iwasaki","N",17906587
"466","Pilný","M",17877942
"467","Albastaki","U",17870421
"468","Shigemitsu","T",17867338
